acpi 1.7-3
patch 2.7.6-9
pciutils 3.9.0-2
perl 5.36.0-3
perl-file-mimeinfo 0.33-1
phonon-qt5-gstreamer 4.10.0-4
pinta 2.1-1
pkgconf 1.8.0-1
plasma-browser-integration 5.26.5-1
plasma-desktop 5.26.5-1
plasma-nm 5.26.5-1.1
plasma-pa 5.26.5-1
plasma-simplemenu 1.0.12-1
plasma-systemmonitor 5.26.5-1
plasma-workspace 5.26.5-3
plasma-workspace-wallpapers 5.26.5-1
poppler-data 0.4.12-1
powerdevil 5.26.5-1
powertop 2.15-1
print-manager 22.12.2-1
procps-ng 3.3.17-1
psmisc 23.6-1
pulseaudio-bluetooth 16.1-3
pulseaudio-ctl 1.70-1
pulseaudio-zeroconf 16.1-3
python-pillow 9.4.0-2
python-pip 23.0-1
python-pyqt5 5.15.9-1
python-pysmbc 1.0.23-3
python-reportlab 3.6.12-2
qt5-imageformats 5.15.8+kde+r9-1
qt5-virtualkeyboard 5.15.8-1
reiserfsprogs 3.6.27-4
rsync 3.2.7-3
s-nail 14.9.24-2
samba 4.17.5-1
sddm 0.19.0-9
sddm-breath-theme 22.0.0-2
sddm-kcm 5.26.5-1
sed 4.9-2
sfml 2.5.1-3
shadow 4.13-2
skanlite 22.12.2-1
sl 5.05-3
sof-firmware 2.2.4-1
spectacle 22.12.2-1
spectre-meltdown-checker 0.45+1+gb68ebe6-2
sshfs 3.7.3-1
strace 6.1-2
sudo 1.9.12.p2-2
swig 4.0.2-5
sysfsutils 2.1.1-1
system-config-printer 1.5.18-1
systemd 252.5-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-7
systemd-sysvcompat 252.5-1
systemsettings 5.26.5-1
tar 1.34-1
tcc 0.9.27-4
terminus-font 4.49.1-5
texinfo 7.0.2-2
thunderbird 102.8.0-1
timeshift 22.11.2-1
timeshift-autosnap-manjaro 0.10-1
tldr 3.1.0-2
tree 2.1.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-liberation 2.1.5-1
udiskie 2.4.2-1
udisks2 2.9.4-1
unarchiver 1.10.7-8
unzip 6.0-19
usb_modeswitch 2.6.1-3
usbutils 015-2
util-linux 2.38.1-1
valgrind 3.19.0-7
vi 1:070224-6
vim 9.0.1302-1
virtualbox 7.0.6-1
visual-studio-code-bin 1.75.1-1
vlc 3.0.18-6
vulkan-intel 22.3.5-1
vulkan-radeon 22.3.5-1
wget 1.21.3-1
which 2.21-6
wireless-regdb 2022.08.12-1
wpa_supplicant 2:2.10-8
xclip 0.13-3
xdg-desktop-portal-kde 5.26.5-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
